community_num	old_oai_id
1321743	oai:oaicat.oclc.org:SS7729499_7729499_6986066_CORNELL
9219337	oai:oaicat.oclc.org:SS7729463_7729463_8869066_CORNELL
22670197	oai:oaicat.oclc.org:SS7729975_7729975_12723835_TRINITY
11073183	oai:oaicat.oclc.org:SS7730635_7730635_9754926_LAWRENCE
1354590	oai:oaicat.oclc.org:SS7729495_7729495_8278123_WASH
372595	oai:oaicat.oclc.org:SS7729438_7729438_599262_CORNELL
298591	oai:oaicat.oclc.org:SS7729428_7729428_582265_CORNELL
308362	oai:oaicat.oclc.org:SS7729421_7729421_650439_DELW
1359480	oai:oaicat.oclc.org:SS7729495_7729495_8278535_WASH
549715	oai:oaicat.oclc.org:SS7729995_7729995_8364087_CORNELL
2943475	oai:oaicat.oclc.org:SS7729444_7729444_8346095_DELW
18167908	oai:oaicat.oclc.org:SS7729995_7729995_12093499_CORNELL
15067534	oai:oaicat.oclc.org:SS7731126_7731126_10772039_RHODEIC
2962327	oai:oaicat.oclc.org:SS7730017_7730017_8437305_RHODE
2842434	oai:oaicat.oclc.org:SS7729997_7729997_8330204_TRINITY
9408493	oai:oaicat.oclc.org:SS7730507_7730507_8920819_RHODE
1323312	oai:oaicat.oclc.org:SS7729499_7729499_7498783_CORNELL
489392	oai:oaicat.oclc.org:SS7730455_7730455_8785381_BRYN
325795	oai:oaicat.oclc.org:SS7729421_7729421_641082_DELW
3244822	oai:oaicat.oclc.org:SS7729975_7729975_8431643_TRINITY
322988	oai:oaicat.oclc.org:SS7729440_7729440_619415_CORNELL
705241	oai:oaicat.oclc.org:SS7730455_7730455_8802602_BRYN
203606	oai:oaicat.oclc.org:SS7729419_7729419_575376_CORNELL
1315158	oai:oaicat.oclc.org:SS7729499_7729499_5731136_CORNELL
9221345	oai:oaicat.oclc.org:SS7729463_7729463_8870980_CORNELL
269353	oai:oaicat.oclc.org:SS7729439_7729439_684519_CORNELL
322517	oai:oaicat.oclc.org:SS7729440_7729440_618440_CORNELL
269292	oai:oaicat.oclc.org:SS7729439_7729439_683282_CORNELL
1321390	oai:oaicat.oclc.org:SS7729499_7729499_5812720_CORNELL
1314177	oai:oaicat.oclc.org:SS7729499_7729499_5807159_CORNELL
9274158	oai:oaicat.oclc.org:SS7732183_7732183_12690793_JEFF
1314565	oai:oaicat.oclc.org:SS7729499_7729499_5807852_CORNELL
323730	oai:oaicat.oclc.org:SS7729440_7729440_616484_CORNELL
10952145	oai:oaicat.oclc.org:SS7730695_7730695_9702183_METHOD
2675828	oai:oaicat.oclc.org:SS7729463_7729463_8390118_CORNELL
2674041	oai:oaicat.oclc.org:SS7729463_7729463_8390072_CORNELL
201455	oai:oaicat.oclc.org:SS7729419_7729419_576008_CORNELL
22332937	oai:oaicat.oclc.org:SS7729975_7729975_12625870_TRINITY
574864	oai:oaicat.oclc.org:SS7729995_7729995_8369685_CORNELL
2861537	oai:oaicat.oclc.org:SS7729596_7729596_9157631_CORNELL
309353	oai:oaicat.oclc.org:SS7729421_7729421_639492_DELW
295409	oai:oaicat.oclc.org:SS7729421_7729421_622142_DELW
295313	oai:oaicat.oclc.org:SS7729421_7729421_621974_DELW
293950	oai:oaicat.oclc.org:SS7729421_7729421_639591_DELW
3475468	oai:oaicat.oclc.org:SS7729499_7729499_8476564_CORNELL
295317	oai:oaicat.oclc.org:SS7729421_7729421_621986_DELW
296586	oai:oaicat.oclc.org:SS7729421_7729421_629653_DELW
2860521	oai:oaicat.oclc.org:SS7729596_7729596_9155197_CORNELL
574291	oai:oaicat.oclc.org:SS7729995_7729995_8369287_CORNELL
325688	oai:oaicat.oclc.org:SS7729421_7729421_639459_DELW
306567	oai:oaicat.oclc.org:SS7729421_7729421_647442_DELW
455851	oai:oaicat.oclc.org:SS7729443_7729443_690857_CORNELL
544692	oai:oaicat.oclc.org:SS7729995_7729995_8355613_CORNELL
299337	oai:oaicat.oclc.org:SS7729428_7729428_583189_CORNELL
2674047	oai:oaicat.oclc.org:SS7729463_7729463_8381158_CORNELL
1313979	oai:oaicat.oclc.org:SS7729499_7729499_6260507_CORNELL
4038308	oai:oaicat.oclc.org:SS7729975_7729975_8518347_TRINITY
415084	oai:oaicat.oclc.org:SS7729421_7729421_656401_DELW
638521	oai:oaicat.oclc.org:SS7729995_7729995_8371754_CORNELL
573943	oai:oaicat.oclc.org:SS7729995_7729995_8368457_CORNELL
307286	oai:oaicat.oclc.org:SS7729421_7729421_632876_DELW
573773	oai:oaicat.oclc.org:SS7729995_7729995_8368587_CORNELL
8793741	oai:oaicat.oclc.org:SS7729975_7729975_8601371_TRINITY
1316589	oai:oaicat.oclc.org:SS7729499_7729499_8271796_CORNELL
201716	oai:oaicat.oclc.org:SS7729419_7729419_572974_CORNELL
11177590	oai:oaicat.oclc.org:SS7729995_7729995_9826451_CORNELL
302472	oai:oaicat.oclc.org:SS7729441_7729441_588664_CORNELL
2677271	oai:oaicat.oclc.org:SS7729463_7729463_8381788_CORNELL
325504	oai:oaicat.oclc.org:SS7729421_7729421_638379_DELW
2678151	oai:oaicat.oclc.org:SS7729463_7729463_8388258_CORNELL
2674931	oai:oaicat.oclc.org:SS7729463_7729463_8386495_CORNELL
10193741	oai:oaicat.oclc.org:SS7729995_7729995_9262039_CORNELL
11780733	oai:oaicat.oclc.org:SS7730635_7730635_10502963_LAWRENCE
550407	oai:oaicat.oclc.org:SS7729995_7729995_8365163_CORNELL
11177803	oai:oaicat.oclc.org:SS7729995_7729995_9826877_CORNELL
11177588	oai:oaicat.oclc.org:SS7729995_7729995_9826447_CORNELL
