# Subset taken from https://www.iana.org/assignments/media-types/media-types.xhtml
activemessage
activity+json
applefile
atom+xml
atomcat+xml
atomdeleted+xml
atomicmail
atomsvc+xml
batch-SMTP
beep+xml
calendar+json
calendar+xml
ccmp+xml
ccxml+xml
CDFX+XML
cea-2018+xml
cellml+xml
cms
emma+xml
emotionml+xml
encaprtp
epp+xml
epub+zip
fdt+xml
fhir+json
fhir+xml
geo+json
geo+json-seq
geoxacml+xml
gml+xml
gzip
H224
held+xml
http
hyperstudio
its+xml
javascript
jf2feed+json
jose
jose+json
jrd+json
json
json-patch+json
json-seq
jwk+json
jwk-set+json
jwt
kpml-request+xml
kpml-response+xml
ld+json
lgr+xml
link-format
load-control+xml
lost+xml
mads+xml
marc
marcxml+xml
mathematica
mets+xml
MF4
mods+xml
mp4
mpeg4-generic
mpeg4-iod
mpeg4-iod-xmt
n-quads
n-triples
nlsml+xml
node
octet-stream
ogg
oxps
pdf
PDX
pls+xml
postscript
problem+json
problem+xml
provenance+xml
rdf+xml
rdap+json
reginfo+xml
reputon+json
rtf
rtploopback
rtx
sgml
shf+xml
smil+xml
soap+fastinfoset
soap+xml
sparql-query
sparql-results+xml
spirits-event+xml
sql
tei+xml
thraud+xml
tnauthlist
trig
ttml+xml
vcard+json
vcard+xml
voicexml+xml
wordperfect5.1
wsdl+xml
x-www-form-urlencoded
xacml+xml
xcap-att+xml
xcap-caps+xml
xcap-diff+xml
xcap-el+xml
xcap-error+xml
xcap-ns+xml
xcon-conference-info-diff+xml
xcon-conference-info+xml
xenc+xml
xhtml+xml
xml
xml-dtd
xml-external-parsed-entity
xml-patch+xml
xmpp+xml
xop+xml
xslt+xml
xv+xml
zip
zlib
