# DPLA specific IMT/MIME values to remove from the format field
# These values came from the D.C./District Digital mapping
8 x 10 inches
MPG4 H.264
28 min.
16 pages
5 x 7
12 pages
8 x 10
8 pages
14 pages
20 pages
